id,description,lock_version,updated_at,created_at,unit_no
282,COGEN DA/BFW/COND COLLECTION,0,1/8/2009 0:00,1/8/2009 0:00,9050
283,COGEN GTG1/HRSG1,0,1/8/2009 0:00,1/8/2009 0:00,9100
284,COGEN GTG2/HRSG2,0,1/8/2009 0:00,1/8/2009 0:00,9200
285,COGEN GTG3/HRSG3,0,1/8/2009 0:00,1/8/2009 0:00,9300
286,COGEN GTG4/HRSG4,0,1/8/2009 0:00,1/8/2009 0:00,9400
287,COGEN GTG5/IN-ACTIVE,0,1/8/2009 0:00,1/8/2009 0:00,9600
288,COGEN GTG6/IN-ACTIVE,0,1/8/2009 0:00,1/8/2009 0:00,9700
289,COGEN HYDROCARBON COLLECTION,0,1/8/2009 0:00,1/8/2009 0:00,9075
290,COGEN HYDROGEN SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,9065
291,COGEN MEROX #1/COMMON,0,1/8/2009 0:00,1/8/2009 0:00,9530
292,COGEN MEROX #2,0,1/8/2009 0:00,1/8/2009 0:00,9535
293,COGEN MISC,0,1/8/2009 0:00,1/8/2009 0:00,9000
294,COGEN NGC #1/COMMON,0,1/8/2009 0:00,1/8/2009 0:00,9020
295,COGEN NGC #2,0,1/8/2009 0:00,1/8/2009 0:00,9025
296,COGEN NITROGEN SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,9540
297,COGEN RGC #1/COMMON,0,1/8/2009 0:00,1/8/2009 0:00,9030
298,COGEN RGC #2,0,1/8/2009 0:00,1/8/2009 0:00,9035
299,COGEN STG UNIT 1/COMMON,0,1/8/2009 0:00,1/8/2009 0:00,9010
300,COGEN STG UNIT 2,0,1/8/2009 0:00,1/8/2009 0:00,9015
301,COGEN SUB 59/RCB 6,0,1/8/2009 0:00,1/8/2009 0:00,9090
302,COGEN TDC,0,1/8/2009 0:00,1/8/2009 0:00,9095
303,COGEN WATER TREATING,0,1/8/2009 0:00,1/8/2009 0:00,9045
304,COKER BLOWDOWN,0,1/8/2009 0:00,1/8/2009 0:00,7000
305,COKER COMP/NO. 5 DEA,0,1/8/2009 0:00,1/8/2009 0:00,6500
306,COKER FLARE,0,1/8/2009 0:00,1/8/2009 0:00,7001
