Valve_No,Manuf_Name,Figure_No,Last_Updt_Id,Last_Updt_Date
V01411,KITZ                                              ,AK150OUP0                                         ,PCSSME  ,1999-7-19
V01411,POWELL                                            ,2474TBEC3                                         ,PCSSME  ,1999-7-19
V01412,BONNEY FORGE                                      ,,PCSSME  ,1999-7-8
V01412,VELAN                                             ,F-0074E-13MS                                      ,PCSSME  ,1999-7-8
V01413,BONNEY FORGE                                      ,,PCSSME  ,1999-7-19
V01413,VELAN                                             ,F-0074T                                           ,PCSSME  ,1999-7-19
V01414,KITZ                                              ,150UPAM                                           ,PCSSME  ,1999-7-19
V01414,POWELL                                            ,"2475FBEC3 (1/2"" - 4""), 2629FBEC3 (6"" - 12"")       ",PCSSME  ,1999-7-19
V01414,VELAN                                             ,F-0074C-13                                        ,PCSSME  ,1999-7-19
V01415,BONNEY FORGE                                      ,SWHL-32-RFSF                                      ,PCSSME  ,1999-2-22
V01415,VELAN                                             ,F-0074T-02TS                                      ,PCSSME  ,1998-12-30
V01416,BONNEY FORGE                                      ,SWHL-32-RFSF                                      ,PCSSME  ,1999-2-22
V01416,VELAN                                             ,F-0074T-02TS                                      ,PCSSME  ,1998-12-30
V01420,KITZ*                                             ,150SCJ5CS                                         ,PCSSME  ,1998-9-4
V01420,PACIFIC                                           ,160-U-C5                                          ,,
V01420,VELAN*                                            ,F-0074C-04TY                                      ,PCSSME  ,1998-9-4
V01420,WALWORTH*                                         ,5275F-UT                                          ,PCSSME  ,1998-9-4
V01421,VELAN                                             ,F-0074C                                           ,PCSSME  ,1999-7-19
V01430,KITZ*                                             ,150SCJ12CS                                        ,PCSSME  ,1999-2-22
V01430,PACIFIC                                           ,160-U-C12                                         ,,
V01430,VELAN*                                            ,F-0074C-09TY                                      ,PCSSME  ,1998-9-4
V01430,WALWORTH*                                         ,5275F-UT                                          ,PCSSME  ,1998-9-4
V01435,BONNEY FORGE                                      ,SL-30-RF                                          ,PCSSME  ,1999-2-22
V01435,VELAN                                             ,F-0074R-09TS                                      ,PCSSME  ,1998-12-30
V01436,BONNEY FORGE                                      ,SL-33-RF                                          ,PCSSME  ,1999-2-22
V01436,VELAN                                             ,F-0074R-02MS                                      ,PCSSME  ,1998-12-30
V01438,BONNEY FORGE                                      ,SWHL-38-RF                                        ,PCSSME  ,1999-2-22
V01438,VELAN                                             ,F-0074T-13MS                                      ,PCSSME  ,1998-12-30
V01439,BONNEY FORGE                                      ,SL-33-RF                                          ,PCSSME  ,1999-2-22
V01439,VELAN                                             ,F-0074R-02MS                                      ,PCSSME  ,1998-12-30
V01440,BONNEY FORGE                                      ,SL-30-RF                                          ,PCSSME  ,1999-2-22
V01440,VELAN                                             ,F-0074R-09TS                                      ,PCSSME  ,1998-12-30
V01441,BONNEY FORGE                                      ,SWHL-30-RF                                        ,PCSSME  ,1999-2-22
V01441,VELAN                                             ,F-0074T-13MS                                      ,PCSSME  ,1998-12-30
V01442,BONNEY FORGE                                      ,,PCSSME  ,1999-7-8
V01442,VELAN                                             ,F-0074T-13MY                                      ,PCSSME  ,1999-7-8
V01450,KITZ*                                             ,W150SCJS                                          ,PCSSME  ,1999-2-22
V01450,NEWCO*                                            ,21W-CB2                                           ,PCSSME  ,1998-9-4
V01450,PACIFIC                                           ,160-U-WE(XS)                                      ,,
V01450,VELAN*                                            ,B-0074C-02TY                                      ,PCSSME  ,1998-9-4
V01450,WALWORTH*                                         ,5275WE-UT                                         ,PCSSME  ,1998-9-4
V01460,COOPER                                            ,215-RF-02                                         ,,
V01460,LADISH                                            ,7272                                              ,,
V01460,VELAN                                             ,F-0074C-19XX                                      ,PCSSME  ,1998-9-4
V01470,BONNEY FORGE                                      ,SWHL-32-RF                                        ,PCSSME  ,1999-2-22
V01470,VELAN                                             ,F-0074T-02TS                                      ,PCSSME  ,1998-12-30
V01471,BONNEY FORGE                                      ,SL-32-RF                                          ,PCSSME  ,1999-2-22
V01471,VELAN                                             ,F-0074R-02TS                                      ,PCSSME  ,1998-12-30
V01472,BONNEY FORGE                                      ,1SWHL-32-RF                                       ,PCSSME  ,1998-12-30
V01472,VELAN                                             ,F-0074T-02TS                                      ,PCSSME  ,1998-12-30
V01473,BONNEY FORGE                                      ,SL-32-RF                                          ,PCSSME  ,1999-2-22
V01473,VELAN                                             ,F-0074R-02TS                                      ,PCSSME  ,1998-12-30
V01474,BONNEY FORGE                                      ,1SL-30-RF                                         ,PCSSME  ,1998-12-30
V01474,VELAN                                             ,F-0074R-02NB                                      ,PCSSME  ,1998-12-30
V01475,BONNEY FORGE                                      ,SWHL-30-RF                                        ,PCSSME  ,1999-2-22
V01475,VELAN                                             ,F-0074T-02NB                                      ,PCSSME  ,1998-12-30
V01476,BONNEY FORGE                                      ,SL-30-RF                                          ,PCSSME  ,1999-2-22
V01476,VELAN                                             ,F-0074R-02NB                                      ,PCSSME  ,1998-12-30
V01477,BONNEY FORGE                                      ,SWHL-30-RF                                        ,PCSSME  ,1999-2-22
V01477,VELAN                                             ,F-0074T-02NB                                      ,PCSSME  ,1998-12-30
V01480,BONNEY FORGE                                      ,SL-36-RF                                          ,PCSSME  ,1999-2-22
V01480,VELAN                                             ,F-0074R-04TS                                      ,PCSSME  ,1998-12-30
V01481,BONNEY FORGE                                      ,SL-36-RF                                          ,PCSSME  ,1999-2-22
V01481,VELAN                                             ,F-0074R-04TS                                      ,PCSSME  ,1998-12-30
V01482,BONNEY FORGE                                      ,,PCSSME  ,1999-7-7
V01482,VELAN                                             ,,PCSSME  ,1999-7-7
